Timestamp,Container_ID,Cargo_Type,Origin,Destination,Temperature_C,Humidity_Percent,Vibration_Level,Distance_Remaining_km,Spoilage_Risk,Recommended_Action,Alert_Status
2026-08-07 17:10:35.258616,CONT_004,Fruits,Nagpur,Delhi,11.7,79.33,0.062,100.96,High,Immediate Inspection,Critical
2026-08-07 17:10:36.260721,CONT_002,Seafood,Vizag,Mumbai,1.08,82.18,0.095,960.45,High,Immediate Inspection,Critical
2026-08-07 17:10:37.262351,CONT_002,Seafood,Vizag,Mumbai,3.34,70.23,0.082,823.81,High,Immediate Inspection,Critical
2026-08-07 17:10:38.264042,CONT_003,Dairy,Bengaluru,Pune,3.64,74.17,0.095,568.86,High,Immediate Inspection,Critical
2026-08-07 17:10:39.266141,CONT_001,Vaccines,Hyderabad,Chennai,7.73,61.66,0.097,335.24,High,Immediate Inspection,Critical
2026-08-07 17:10:40.268082,CONT_001,Vaccines,Hyderabad,Chennai,2.66,71.25,0.023,233.06,Low,Continue Monitoring,Normal
2026-08-07 17:10:41.270039,CONT_002,Seafood,Vizag,Mumbai,3.97,66.94,0.013,226.29,Low,Continue Monitoring,Normal
2026-08-07 17:10:42.274585,CONT_002,Seafood,Vizag,Mumbai,3.64,65.14,0.032,191.02,Low,Continue Monitoring,Normal
2026-08-07 17:10:43.276535,CONT_002,Seafood,Vizag,Mumbai,0.2,84.46,0.034,610.39,Low,Continue Monitoring,Normal
2026-08-07 17:10:44.278479,CONT_003,Dairy,Bengaluru,Pune,2.5,76.82,0.078,106.64,Medium,Check Cooling System,Warning
2026-08-07 17:10:45.280383,CONT_002,Seafood,Vizag,Mumbai,0.45,89.17,0.099,1165.02,High,Immediate Inspection,Critical
2026-08-07 17:10:46.282663,CONT_001,Vaccines,Hyderabad,Chennai,7.97,81.92,0.078,1460.59,Medium,Check Cooling System,Warning
2026-08-07 17:10:47.284992,CONT_001,Vaccines,Hyderabad,Chennai,4.18,69.65,0.015,854.6,Low,Continue Monitoring,Normal
2026-08-07 17:10:48.287785,CONT_002,Seafood,Vizag,Mumbai,0.12,64.71,0.05,555.0,Low,Continue Monitoring,Normal
2026-08-07 17:10:49.289389,CONT_003,Dairy,Bengaluru,Pune,2.1,61.6,0.016,1388.58,Low,Continue Monitoring,Normal
2026-08-07 17:10:50.291416,CONT_003,Dairy,Bengaluru,Pune,4.82,76.2,0.076,1000.68,Medium,Check Cooling System,Warning
2026-08-07 17:10:51.293218,CONT_004,Fruits,Nagpur,Delhi,9.53,84.48,0.08,1430.64,High,Immediate Inspection,Critical
2026-08-07 17:10:52.295616,CONT_004,Fruits,Nagpur,Delhi,6.63,81.22,0.056,102.86,Medium,Check Cooling System,Warning
2026-08-07 17:10:53.298404,CONT_004,Fruits,Nagpur,Delhi,9.58,79.6,0.041,1241.62,High,Immediate Inspection,Critical
2026-08-07 17:10:54.299785,CONT_001,Vaccines,Hyderabad,Chennai,2.71,63.61,0.087,319.03,High,Immediate Inspection,Critical
2026-08-07 17:10:55.301307,CONT_004,Fruits,Nagpur,Delhi,11.03,82.36,0.095,1415.62,High,Immediate Inspection,Critical
2026-08-07 17:10:56.302921,CONT_002,Seafood,Vizag,Mumbai,-1.72,79.45,0.013,1331.9,Low,Continue Monitoring,Normal
2026-08-07 17:10:57.304389,CONT_003,Dairy,Bengaluru,Pune,4.56,86.28,0.054,631.84,Medium,Check Cooling System,Warning
2026-08-07 17:10:58.306452,CONT_001,Vaccines,Hyderabad,Chennai,3.86,82.38,0.089,662.88,High,Immediate Inspection,Critical
2026-08-07 17:10:59.309115,CONT_003,Dairy,Bengaluru,Pune,2.68,73.88,0.098,285.78,High,Immediate Inspection,Critical
2026-08-07 17:11:00.311280,CONT_003,Dairy,Bengaluru,Pune,3.86,75.36,0.098,389.68,High,Immediate Inspection,Critical
2026-08-07 17:11:01.313791,CONT_002,Seafood,Vizag,Mumbai,3.72,65.34,0.064,1156.3,Medium,Check Cooling System,Warning
2026-08-07 17:11:02.315558,CONT_002,Seafood,Vizag,Mumbai,-1.8,82.67,0.029,705.32,Low,Continue Monitoring,Normal
2026-08-07 17:11:03.317446,CONT_004,Fruits,Nagpur,Delhi,9.92,61.6,0.014,956.67,High,Immediate Inspection,Critical
2026-08-07 17:11:04.318936,CONT_003,Dairy,Bengaluru,Pune,1.58,64.31,0.06,55.85,Medium,Check Cooling System,Warning
2026-08-07 17:11:05.320479,CONT_001,Vaccines,Hyderabad,Chennai,5.45,84.16,0.087,1103.56,High,Immediate Inspection,Critical
2026-08-07 17:11:06.322240,CONT_003,Dairy,Bengaluru,Pune,2.24,84.21,0.085,926.49,High,Immediate Inspection,Critical
2026-08-07 17:11:07.324371,CONT_004,Fruits,Nagpur,Delhi,7.98,64.71,0.076,356.99,Medium,Check Cooling System,Warning
2026-08-07 17:11:08.325786,CONT_002,Seafood,Vizag,Mumbai,2.18,76.15,0.024,614.9,Low,Continue Monitoring,Normal
2026-08-07 17:11:09.328839,CONT_003,Dairy,Bengaluru,Pune,2.17,80.6,0.029,1490.15,Low,Continue Monitoring,Normal
2026-08-07 17:11:10.331043,CONT_002,Seafood,Vizag,Mumbai,1.51,87.69,0.018,354.65,Low,Continue Monitoring,Normal
2026-08-07 17:11:11.332552,CONT_002,Seafood,Vizag,Mumbai,-1.82,66.12,0.08,77.94,Medium,Check Cooling System,Warning
2026-08-07 17:11:12.333937,CONT_002,Seafood,Vizag,Mumbai,1.03,71.05,0.09,730.21,High,Immediate Inspection,Critical
2026-08-07 17:11:13.335961,CONT_001,Vaccines,Hyderabad,Chennai,4.39,84.34,0.053,1195.28,Medium,Check Cooling System,Warning
2026-08-07 17:11:14.337899,CONT_002,Seafood,Vizag,Mumbai,3.74,63.67,0.055,260.92,Medium,Check Cooling System,Warning
2026-08-07 17:11:15.339763,CONT_003,Dairy,Bengaluru,Pune,3.41,60.22,0.077,723.76,Medium,Check Cooling System,Warning
2026-08-07 17:11:16.342065,CONT_004,Fruits,Nagpur,Delhi,5.9,74.63,0.062,575.94,Medium,Check Cooling System,Warning
2026-08-07 17:11:17.344775,CONT_003,Dairy,Bengaluru,Pune,2.0,69.76,0.047,967.54,Low,Continue Monitoring,Normal
2026-08-07 17:11:18.346489,CONT_003,Dairy,Bengaluru,Pune,1.33,77.04,0.09,680.25,High,Immediate Inspection,Critical
2026-08-07 17:11:19.348339,CONT_002,Seafood,Vizag,Mumbai,-0.36,81.56,0.055,947.38,Medium,Check Cooling System,Warning
2026-08-07 17:11:20.350047,CONT_002,Seafood,Vizag,Mumbai,-0.2,88.14,0.038,258.91,Low,Continue Monitoring,Normal
2026-08-07 17:11:21.351755,CONT_003,Dairy,Bengaluru,Pune,3.47,87.28,0.083,1349.67,High,Immediate Inspection,Critical
2026-08-07 17:11:22.353405,CONT_001,Vaccines,Hyderabad,Chennai,5.25,71.6,0.036,164.44,Medium,Check Cooling System,Warning
2026-08-07 17:11:23.355245,CONT_002,Seafood,Vizag,Mumbai,-1.27,64.65,0.026,729.14,Low,Continue Monitoring,Normal
2026-08-07 17:11:24.356807,CONT_001,Vaccines,Hyderabad,Chennai,4.59,75.53,0.086,112.52,High,Immediate Inspection,Critical
2026-08-07 17:11:25.359478,CONT_003,Dairy,Bengaluru,Pune,4.81,66.45,0.075,844.58,Medium,Check Cooling System,Warning
2026-08-07 17:11:26.362153,CONT_004,Fruits,Nagpur,Delhi,6.15,73.92,0.017,594.61,Medium,Check Cooling System,Warning
2026-08-07 17:11:27.364200,CONT_002,Seafood,Vizag,Mumbai,1.44,82.97,0.058,951.44,Medium,Check Cooling System,Warning
2026-08-07 17:11:28.366090,CONT_004,Fruits,Nagpur,Delhi,7.62,89.49,0.036,168.32,Medium,Check Cooling System,Warning
2026-08-07 17:11:29.367881,CONT_002,Seafood,Vizag,Mumbai,1.76,62.21,0.056,1456.23,Medium,Check Cooling System,Warning
2026-08-07 17:11:30.369736,CONT_002,Seafood,Vizag,Mumbai,2.81,70.42,0.075,164.79,Medium,Check Cooling System,Warning
2026-08-07 17:11:31.371440,CONT_001,Vaccines,Hyderabad,Chennai,7.32,80.36,0.023,1445.13,Medium,Check Cooling System,Warning
2026-08-07 17:11:32.373966,CONT_003,Dairy,Bengaluru,Pune,2.98,68.11,0.05,330.57,Low,Continue Monitoring,Normal
2026-08-07 17:11:33.376062,CONT_001,Vaccines,Hyderabad,Chennai,3.54,89.01,0.032,313.41,Low,Continue Monitoring,Normal
2026-08-07 17:11:34.378176,CONT_002,Seafood,Vizag,Mumbai,3.91,88.1,0.029,460.05,Low,Continue Monitoring,Normal
2026-08-07 17:11:35.380528,CONT_002,Seafood,Vizag,Mumbai,0.87,81.42,0.053,32.6,Medium,Check Cooling System,Warning
2026-08-07 17:11:36.382769,CONT_003,Dairy,Bengaluru,Pune,1.02,66.63,0.015,1000.4,Low,Continue Monitoring,Normal
2026-08-07 17:11:37.392683,CONT_001,Vaccines,Hyderabad,Chennai,4.8,76.35,0.014,1177.8,Low,Continue Monitoring,Normal
2026-08-07 17:11:38.404917,CONT_003,Dairy,Bengaluru,Pune,3.21,78.71,0.086,1479.42,High,Immediate Inspection,Critical
2026-08-07 17:11:39.406452,CONT_001,Vaccines,Hyderabad,Chennai,6.92,83.02,0.045,217.15,Medium,Check Cooling System,Warning
2026-08-07 17:11:40.408182,CONT_001,Vaccines,Hyderabad,Chennai,5.34,70.49,0.059,249.28,Medium,Check Cooling System,Warning
2026-08-07 17:11:41.409541,CONT_004,Fruits,Nagpur,Delhi,6.77,63.63,0.03,226.5,Medium,Check Cooling System,Warning
2026-08-07 17:11:42.411020,CONT_004,Fruits,Nagpur,Delhi,4.92,68.06,0.013,953.33,Low,Continue Monitoring,Normal
2026-08-07 17:11:43.413173,CONT_001,Vaccines,Hyderabad,Chennai,2.5,62.54,0.088,850.15,High,Immediate Inspection,Critical
2026-08-07 17:11:44.415022,CONT_001,Vaccines,Hyderabad,Chennai,3.27,71.05,0.02,325.05,Low,Continue Monitoring,Normal
2026-08-07 17:11:45.416564,CONT_003,Dairy,Bengaluru,Pune,1.67,82.67,0.075,225.08,Medium,Check Cooling System,Warning
2026-08-07 17:11:46.419158,CONT_002,Seafood,Vizag,Mumbai,0.86,74.88,0.097,717.67,High,Immediate Inspection,Critical
2026-08-07 17:11:47.421113,CONT_004,Fruits,Nagpur,Delhi,10.35,85.27,0.042,880.26,High,Immediate Inspection,Critical
2026-08-07 17:11:48.423039,CONT_002,Seafood,Vizag,Mumbai,-1.02,83.39,0.012,1000.97,Low,Continue Monitoring,Normal
2026-08-07 17:11:49.424813,CONT_004,Fruits,Nagpur,Delhi,5.88,88.93,0.094,168.38,High,Immediate Inspection,Critical
2026-08-07 17:11:50.426347,CONT_003,Dairy,Bengaluru,Pune,3.23,79.63,0.09,1384.04,High,Immediate Inspection,Critical
2026-08-07 17:11:51.428818,CONT_002,Seafood,Vizag,Mumbai,2.13,60.65,0.044,997.7,Low,Continue Monitoring,Normal
2026-08-07 17:11:52.430641,CONT_003,Dairy,Bengaluru,Pune,3.52,66.79,0.097,485.23,High,Immediate Inspection,Critical
2026-08-07 17:11:53.432302,CONT_002,Seafood,Vizag,Mumbai,2.43,77.12,0.063,1321.48,Medium,Check Cooling System,Warning
2026-08-07 17:11:54.433739,CONT_001,Vaccines,Hyderabad,Chennai,3.27,70.2,0.081,901.04,High,Immediate Inspection,Critical
2026-08-07 17:11:55.435752,CONT_002,Seafood,Vizag,Mumbai,0.83,81.39,0.097,602.42,High,Immediate Inspection,Critical
2026-08-07 17:11:56.438104,CONT_001,Vaccines,Hyderabad,Chennai,2.41,76.86,0.056,1014.02,Medium,Check Cooling System,Warning
2026-08-07 17:11:57.440888,CONT_001,Vaccines,Hyderabad,Chennai,4.2,70.96,0.011,1276.23,Low,Continue Monitoring,Normal
2026-08-07 17:11:58.442355,CONT_001,Vaccines,Hyderabad,Chennai,6.46,65.57,0.019,509.05,Medium,Check Cooling System,Warning
2026-08-07 17:11:59.444065,CONT_004,Fruits,Nagpur,Delhi,9.41,68.41,0.039,919.96,High,Immediate Inspection,Critical
2026-08-07 17:12:00.445902,CONT_004,Fruits,Nagpur,Delhi,6.15,84.58,0.028,1328.62,Medium,Check Cooling System,Warning
2026-08-07 17:12:01.447932,CONT_002,Seafood,Vizag,Mumbai,-0.14,78.65,0.053,199.27,Medium,Check Cooling System,Warning
2026-08-07 17:12:02.449633,CONT_004,Fruits,Nagpur,Delhi,6.32,66.85,0.038,844.06,Medium,Check Cooling System,Warning
2026-08-07 17:12:03.451372,CONT_002,Seafood,Vizag,Mumbai,1.85,84.86,0.053,232.53,Medium,Check Cooling System,Warning
2026-08-07 17:12:04.453144,CONT_004,Fruits,Nagpur,Delhi,10.04,69.2,0.038,1250.99,High,Immediate Inspection,Critical
2026-08-07 17:12:05.455205,CONT_002,Seafood,Vizag,Mumbai,-0.72,69.22,0.061,581.75,Medium,Check Cooling System,Warning
2026-08-07 17:12:06.456796,CONT_001,Vaccines,Hyderabad,Chennai,5.85,74.14,0.019,84.1,Medium,Check Cooling System,Warning
2026-08-07 17:12:07.459074,CONT_001,Vaccines,Hyderabad,Chennai,3.96,76.73,0.064,1121.43,Medium,Check Cooling System,Warning
2026-08-07 17:12:08.462070,CONT_002,Seafood,Vizag,Mumbai,3.68,62.75,0.094,1297.84,High,Immediate Inspection,Critical
2026-08-07 17:12:09.464060,CONT_001,Vaccines,Hyderabad,Chennai,5.7,71.54,0.052,775.23,Medium,Check Cooling System,Warning
2026-08-07 17:12:10.465544,CONT_003,Dairy,Bengaluru,Pune,1.59,77.14,0.02,912.15,Low,Continue Monitoring,Normal
2026-08-07 17:12:11.467712,CONT_003,Dairy,Bengaluru,Pune,3.12,65.36,0.086,108.22,High,Immediate Inspection,Critical
2026-08-07 17:12:12.469885,CONT_002,Seafood,Vizag,Mumbai,-0.3,88.29,0.035,784.65,Low,Continue Monitoring,Normal
2026-08-07 17:12:13.471679,CONT_004,Fruits,Nagpur,Delhi,11.75,60.62,0.09,696.42,High,Immediate Inspection,Critical
2026-08-07 17:12:14.473744,CONT_004,Fruits,Nagpur,Delhi,11.36,63.07,0.036,381.36,High,Immediate Inspection,Critical
2026-08-07 17:12:15.476795,CONT_004,Fruits,Nagpur,Delhi,5.73,80.52,0.071,563.72,Medium,Check Cooling System,Warning
2026-08-07 17:12:16.479070,CONT_003,Dairy,Bengaluru,Pune,2.39,72.23,0.053,1141.17,Medium,Check Cooling System,Warning
2026-08-07 17:12:17.481048,CONT_001,Vaccines,Hyderabad,Chennai,6.92,60.53,0.042,335.37,Medium,Check Cooling System,Warning
2026-08-07 17:12:18.484247,CONT_002,Seafood,Vizag,Mumbai,0.1,77.93,0.079,1268.56,Medium,Check Cooling System,Warning
2026-08-07 17:12:19.486154,CONT_002,Seafood,Vizag,Mumbai,-0.72,78.83,0.034,1015.49,Low,Continue Monitoring,Normal
2026-08-07 17:12:20.488093,CONT_003,Dairy,Bengaluru,Pune,1.38,86.13,0.029,556.57,Low,Continue Monitoring,Normal
2026-08-07 17:12:21.489916,CONT_002,Seafood,Vizag,Mumbai,3.22,72.71,0.092,1004.61,High,Immediate Inspection,Critical
2026-08-07 17:12:22.491514,CONT_003,Dairy,Bengaluru,Pune,1.98,86.73,0.061,1498.29,Medium,Check Cooling System,Warning
2026-08-07 17:12:23.493756,CONT_004,Fruits,Nagpur,Delhi,11.85,64.0,0.092,833.16,High,Immediate Inspection,Critical
2026-08-07 17:12:24.496873,CONT_004,Fruits,Nagpur,Delhi,8.26,82.86,0.041,455.09,High,Immediate Inspection,Critical
2026-08-07 17:12:25.498715,CONT_002,Seafood,Vizag,Mumbai,-1.59,84.6,0.065,977.75,Medium,Check Cooling System,Warning
2026-08-07 17:12:26.510473,CONT_003,Dairy,Bengaluru,Pune,3.09,75.97,0.023,991.45,Low,Continue Monitoring,Normal
2026-08-07 17:12:27.517842,CONT_004,Fruits,Nagpur,Delhi,9.51,63.54,0.018,1318.81,High,Immediate Inspection,Critical
2026-08-07 17:12:28.519927,CONT_001,Vaccines,Hyderabad,Chennai,2.17,86.33,0.027,486.14,Low,Continue Monitoring,Normal
2026-08-07 17:12:29.522318,CONT_002,Seafood,Vizag,Mumbai,3.89,72.99,0.015,264.52,Low,Continue Monitoring,Normal
2026-08-07 17:12:30.524622,CONT_003,Dairy,Bengaluru,Pune,1.56,69.46,0.094,385.72,High,Immediate Inspection,Critical
2026-08-07 17:12:31.526301,CONT_003,Dairy,Bengaluru,Pune,2.21,69.82,0.095,954.83,High,Immediate Inspection,Critical
2026-08-07 17:12:32.527661,CONT_001,Vaccines,Hyderabad,Chennai,2.05,71.19,0.032,1243.56,Low,Continue Monitoring,Normal
2026-08-07 17:12:33.530055,CONT_004,Fruits,Nagpur,Delhi,7.32,65.58,0.068,235.73,Medium,Check Cooling System,Warning
2026-08-07 17:12:34.532694,CONT_004,Fruits,Nagpur,Delhi,8.71,76.19,0.058,205.36,High,Immediate Inspection,Critical
2026-08-07 17:12:35.534613,CONT_003,Dairy,Bengaluru,Pune,1.55,77.78,0.071,1438.7,Medium,Check Cooling System,Warning
2026-08-07 17:12:36.536695,CONT_003,Dairy,Bengaluru,Pune,2.64,66.03,0.1,866.07,High,Immediate Inspection,Critical
2026-08-07 17:12:37.539640,CONT_004,Fruits,Nagpur,Delhi,4.1,84.28,0.011,146.9,Low,Continue Monitoring,Normal
2026-08-07 17:12:38.541396,CONT_003,Dairy,Bengaluru,Pune,1.58,79.08,0.038,1023.65,Low,Continue Monitoring,Normal
2026-08-07 17:12:39.542932,CONT_002,Seafood,Vizag,Mumbai,-0.75,73.18,0.065,564.09,Medium,Check Cooling System,Warning
2026-08-07 17:12:40.544878,CONT_001,Vaccines,Hyderabad,Chennai,7.11,70.34,0.031,1030.28,Medium,Check Cooling System,Warning
2026-08-07 17:12:41.546679,CONT_004,Fruits,Nagpur,Delhi,5.47,77.1,0.015,468.2,Medium,Check Cooling System,Warning
2026-08-07 17:12:42.548488,CONT_002,Seafood,Vizag,Mumbai,2.94,71.77,0.066,733.64,Medium,Check Cooling System,Warning
2026-08-07 17:12:43.550160,CONT_002,Seafood,Vizag,Mumbai,0.95,74.43,0.048,1254.11,Low,Continue Monitoring,Normal
2026-08-07 17:12:44.551724,CONT_003,Dairy,Bengaluru,Pune,1.31,86.34,0.082,1044.98,High,Immediate Inspection,Critical
2026-08-07 17:12:45.553599,CONT_004,Fruits,Nagpur,Delhi,8.33,67.42,0.074,1446.11,High,Immediate Inspection,Critical
2026-08-07 17:12:46.555865,CONT_004,Fruits,Nagpur,Delhi,7.75,78.52,0.025,104.05,Medium,Check Cooling System,Warning
2026-08-07 17:12:47.557330,CONT_004,Fruits,Nagpur,Delhi,9.51,89.06,0.092,97.1,High,Immediate Inspection,Critical
2026-08-07 17:12:48.558461,CONT_001,Vaccines,Hyderabad,Chennai,3.67,80.64,0.046,1278.26,Low,Continue Monitoring,Normal
2026-08-07 17:12:49.560716,CONT_003,Dairy,Bengaluru,Pune,2.04,70.66,0.011,217.44,Low,Continue Monitoring,Normal
2026-08-07 17:12:50.562594,CONT_001,Vaccines,Hyderabad,Chennai,5.32,60.2,0.067,681.78,Medium,Check Cooling System,Warning
2026-08-07 17:12:51.565407,CONT_001,Vaccines,Hyderabad,Chennai,7.19,66.1,0.034,771.29,Medium,Check Cooling System,Warning
2026-08-07 17:12:52.566917,CONT_001,Vaccines,Hyderabad,Chennai,5.72,67.94,0.062,1419.36,Medium,Check Cooling System,Warning
2026-08-07 17:12:53.568844,CONT_002,Seafood,Vizag,Mumbai,-1.87,88.91,0.046,1360.92,Low,Continue Monitoring,Normal
2026-08-07 17:12:54.572654,CONT_002,Seafood,Vizag,Mumbai,0.96,77.71,0.014,1238.34,Low,Continue Monitoring,Normal
2026-08-07 17:12:55.574971,CONT_004,Fruits,Nagpur,Delhi,7.53,83.87,0.089,870.0,High,Immediate Inspection,Critical
2026-08-07 17:12:56.576779,CONT_003,Dairy,Bengaluru,Pune,4.85,60.04,0.065,591.94,Medium,Check Cooling System,Warning
2026-08-07 17:12:57.578823,CONT_002,Seafood,Vizag,Mumbai,-0.7,76.09,0.032,959.2,Low,Continue Monitoring,Normal
2026-08-07 17:12:58.580886,CONT_002,Seafood,Vizag,Mumbai,-0.54,69.52,0.018,264.11,Low,Continue Monitoring,Normal
2026-08-07 17:12:59.582310,CONT_001,Vaccines,Hyderabad,Chennai,4.12,64.25,0.095,1162.88,High,Immediate Inspection,Critical
2026-08-07 17:13:00.584167,CONT_001,Vaccines,Hyderabad,Chennai,2.01,83.26,0.013,889.75,Low,Continue Monitoring,Normal
2026-08-07 17:13:01.586603,CONT_002,Seafood,Vizag,Mumbai,-0.76,83.61,0.012,233.65,Low,Continue Monitoring,Normal
2026-08-07 17:13:02.588429,CONT_001,Vaccines,Hyderabad,Chennai,6.53,77.71,0.063,1255.65,Medium,Check Cooling System,Warning
2026-08-07 17:13:03.590337,CONT_004,Fruits,Nagpur,Delhi,11.25,68.75,0.073,1498.72,High,Immediate Inspection,Critical
2026-08-07 17:13:04.592027,CONT_003,Dairy,Bengaluru,Pune,4.69,75.85,0.086,427.63,High,Immediate Inspection,Critical
2026-08-07 17:13:05.593956,CONT_004,Fruits,Nagpur,Delhi,11.71,71.69,0.041,657.67,High,Immediate Inspection,Critical
2026-08-07 17:13:06.595676,CONT_004,Fruits,Nagpur,Delhi,6.01,74.86,0.098,103.89,High,Immediate Inspection,Critical
2026-08-07 17:13:07.597631,CONT_001,Vaccines,Hyderabad,Chennai,2.89,70.3,0.021,637.47,Low,Continue Monitoring,Normal
2026-08-07 17:13:08.599481,CONT_003,Dairy,Bengaluru,Pune,4.47,73.52,0.02,808.21,Low,Continue Monitoring,Normal
